"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",6.10800000000017,713.4,1091.6
"3","leduc<-leducSCR(leduc)",8.34899999999834,93.6999999999998,825.1
"4","leduc<-leducScSums(leduc)",7.39500000000044,-154.6,753.8
"5","leduc<-leducNormToRef(leduc)",37.4559999999983,0.299999999999727,120
"6","leduc<-leducAggPSM(leduc)",177.162999999997,286.9,390
"7","leduc<-leducConsensus(leduc,assaysNames)",4.88300000000163,0,209.1
"8","leduc<-leducMissingData(leduc,assaysNames)",22.7360000000008,0,175.7
"9","leduc<-leducJoin(leduc,assaysNames)",15.3100000000013,335.1,961.1
"10","leduc<-leducFilterCV(leduc,assaysNames)",19.4320000000007,-634.9,286
"11","leduc<-leducNormPep(leduc)",2.08599999999933,93.3999999999996,412.2
"12","leduc<-leducFilteringNA(leduc)",4.6830000000009,4.30000000000018,389.9
"13","leduc<-leducLogTransfo(leduc)",1.02400000000125,31.5999999999999,131
"14","leduc<-leducAggPep(leduc)",1.31599999999889,14,205.3
"15","leduc<-leducNormPro(leduc)",2.02200000000084,13.5,139.7
"16","leduc<-leducImpute(leduc)",8.83899999999994,-496.4,1799.2
"17","leduc<-leducBatch(leduc)",1.63000000000102,6.80000000000018,90.5
"18","leduc<-leducNormBatch(leduc)",2.05500000000029,13.4000000000001,133
"19","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=sizeOutputPath,append=TRUE,col.names=FALSE,row.names=FALSE)",0.213999999999942,0,259.6
