"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",15.905999999999,92.5,1084
"3","leduc<-leducSCR(leduc)",19.9700000000012,93.6999999999998,809.7
"4","leduc<-leducScSums(leduc)",18.2959999999985,-154.6,750.9
"5","leduc<-leducNormToRef(leduc)",96.7409999999982,0.300000000000182,103.7
"6","leduc<-leducAggPSM(leduc)",380.648000000001,286.9,392.1
"7","leduc<-leducConsensus(leduc,assaysNames)",13.0620000000017,0,167.8
"8","leduc<-leducMissingData(leduc,assaysNames)",59.135000000002,0,150.2
"9","leduc<-leducJoin(leduc,assaysNames)",35.4480000000003,335.1,993.5
"10","leduc<-leducNormPep(leduc)",7.80400000000009,646.7,2440.9
"11","leduc<-leducFilteringNA(leduc)",13.1349999999984,-118.5,1791.7
"12","leduc<-leducLogTransfo(leduc)",2.54799999999886,202.6,451.2
"13","leduc<-leducAggPep(leduc)",5.06200000000172,90.0999999999999,964.8
"14","leduc<-leducNormPro(leduc)",5.52999999999884,89.6999999999998,442.2
"15","leduc<-leducImpute(leduc)",546.150000000001,-620.599999999999,2821.5
"16","leduc<-leducBatch(leduc)",4.35699999999997,44.8999999999996,344.4
"17","leduc<-leducNormBatch(leduc)",5.66699999999764,89.7000000000003,489.2
"18","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=file.path(outputDir,""size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",0.488999999997759,0,263.8
