"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",7.67999999999995,-95.2,286.4
"3","leduc<-leducSCR(leduc)",10.447,25.8,221.3
"4","leduc<-leducScSums(leduc)",9.32800000000009,-39,205.8
"5","leduc<-leducNormToRef(leduc)",18.078,0,34.3
"6","leduc<-leducAggPSM(leduc)",184.184,10.8,111
"7","leduc<-leducConsensus(leduc,assaysNames)",10.644,0,63.6000000000001
"8","leduc<-leducMissingData(leduc,assaysNames)",30.8679999999999,0,46.5
"9","leduc<-leducJoin(leduc,assaysNames)",15.4680000000001,51.7,245.7
"10","leduc<-leducNormPep(leduc)",3.67399999999998,95.4000000000001,544.5
"11","leduc<-leducFilteringNA(leduc)",7.11000000000013,1.59999999999991,429.4
"12","leduc<-leducLogTransfo(leduc)",1.44499999999994,47.3,130.3
"13","leduc<-leducAggPep(leduc)",5.51400000000012,21.8000000000002,241
"14","leduc<-leducNormPro(leduc)",3.21900000000005,21.3999999999999,163.2
"15","leduc<-leducImpute(leduc)",72.078,-157.2,1147.3
"16","leduc<-leducBatch(leduc)",2.654,10.7,94.1000000000001
"17","leduc<-leducNormBatch(leduc)",3.42499999999995,21.4000000000001,142.5
"18","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=file.path(outputDir,""size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",0.296000000000049,0,69.0999999999999
