"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(hela)",0,0,0
"2","hela<-filterFeat(hela)",10.5889999999999,-1956.5,4422.1
"3","hela<-filterSamples(hela)",161.644,-4.90000000000055,217.5
"4","hela<-zeroIsNA(hela,assaysNames)",120.661,-5,348.6
"5","hela<-aggregationToPep(hela,assaysNames)",4047.489,2234.8,3331.5
"6","hela<-joining(hela,assaysNames)",330.815000000001,633.2,4356.4
"7","hela<-normalisation(hela)",9.51299999999901,424.400000000001,3863.1
