"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0777239223311716,0.00556960821189611,13.9550071341035,8.8494239661539e-09
"methodpseudobulkMean",-0.00656308895517361,0.00787661547036804,-0.833237191768985,0.42098649514985
"methodpseudobulkMedian",-0.00868073908560564,0.00787661547036804,-1.10208999261964,0.292036031644528
"methodpseudobulkRobustSummary",-0.00772390947446082,0.00787661547036804,-0.980612739509538,0.346141047051464
"methodpseudobulkSum",0.000817535004938748,0.00787661547036804,0.103792676945362,0.919048389641058
"methodscp",0.536627723844729,0.00787661547036804,68.1292270599639,6.63972989377276e-17
