"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0.00100000000000477,0,0
"2","leduc<-leducFilterFeatures(leduc)",18.255,1047.6,1077.1
"3","leduc<-leducSCR(leduc)",22.166,94.1000000000004,809.9
"4","leduc<-leducScSums(leduc)",18.976,-154.6,742.1
"5","leduc<-leducNormToRef(leduc)",100.578,0.400000000000091,101.9
"6","leduc<-leducAggPSM(leduc)",629.072,-10.0999999999999,311.5
"7","leduc<-leducConsensus(leduc,assaysNames)",13.671,0.0999999999999091,162.7
"8","leduc<-leducMissingData(leduc,assaysNames)",62.172,0,141.3
"9","leduc<-leducJoin(leduc,assaysNames)",34.836,335.2,934.1
"10","leduc<-leducNormPep(leduc)",8.471,646.7,1637.6
"11","leduc<-leducFilteringNA(leduc)",13.8670000000002,-118.4,1054.4
"12","leduc<-leducLogTransfo(leduc)",2.78099999999995,202.6,433.8
"13","leduc<-leducAggPep(leduc)",8.74500000000012,90.1000000000004,892.3
"14","leduc<-leducNormPro(leduc)",5.75,89.6999999999998,424.4
"15","leduc<-leducImpute(leduc)",526.887,-620.6,2724.3
"16","leduc<-leducBatch(leduc)",4.44399999999996,45,325.2
"17","leduc<-leducNormBatch(leduc)",5.86400000000003,89.6999999999998,471.4
"18","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=file.path(outputDir,""size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",0.3599999999999,0,218.6
