"rep" "state" "sizeTotal" "sizeAssay" "sizeRowData" "sizeColData"
1 "before" 4970964280 1714798616 3251753024 327840
1 "after" 11271076048 2883958944 4190494808 305312
2 "before" 4970964280 1714798616 3251753024 327840
2 "after" 11271076048 2883958944 4190494808 305312
3 "before" 4970964280 1714798616 3251753024 327840
3 "after" 11271076048 2883958944 4190494808 305312
