"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",3.73100000000005,-95.2,286.4
"3","leduc<-leducSCR(leduc)",4.88500000000005,25.8,221.3
"4","leduc<-leducScSums(leduc)",4.42700000000002,-39,205.8
"5","leduc<-leducNormToRef(leduc)",8.548,0,34.3
"6","leduc<-leducAggPSM(leduc)",82.6820000000001,10.8,111
"7","leduc<-leducConsensus(leduc,assaysNames)",5.10699999999997,0,63.6000000000001
"8","leduc<-leducMissingData(leduc,assaysNames)",14.8520000000001,0,46.5
"9","leduc<-leducJoin(leduc,assaysNames)",6.87900000000002,51.7,245.7
"10","leduc<-leducNormPep(leduc)",1.71500000000003,95.4000000000001,544.5
"11","leduc<-leducFilteringNA(leduc)",3.35599999999999,1.59999999999991,429.4
"12","leduc<-leducLogTransfo(leduc)",0.666000000000054,47.3,130.3
"13","leduc<-leducAggPep(leduc)",2.52200000000005,21.8000000000002,241
"14","leduc<-leducNormPro(leduc)",1.51900000000001,21.3999999999999,163.2
"15","leduc<-leducImpute(leduc)",32.288,-157.2,1147.3
"16","leduc<-leducBatch(leduc)",1.27799999999991,10.7,94.1000000000001
"17","leduc<-leducNormBatch(leduc)",1.59199999999998,21.4000000000001,142.5
"18","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=file.path(outputDir,""size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",0.110000000000014,0,69.0999999999999
