"nCell" "rep" "size"
1000 1 1600009056
2000 1 3165504736
4000 1 6300109640
1000 2 1600009056
2000 2 3165504736
4000 2 6300109640
1000 3 1600009056
2000 3 3165504736
4000 3 6300109640
