"","version","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","replicate","subset_size"
"2000.4...58","allOpti","leduc<-filterRow(leduc)",0.925999999999931,81.3,154,2,2000
"2000.5...59","allOpti","leduc<-filterCol(leduc)",1.86400000000003,-5.30000000000001,66.4,2,2000
"2000.6...60","allOpti","aggregatePSM(leduc)",26.8240000000001,131.9,243,2,2000
"2000.7...61","allOpti","leduc<-filterRow(leduc)",0.928999999999974,81.3,154,3,2000
"2000.8...62","allOpti","leduc<-filterCol(leduc)",1.86399999999992,-5.30000000000001,66.4,3,2000
"2000.9...63","allOpti","aggregatePSM(leduc)",25.75,131.9,238.3,3,2000
"4000.1...64","allOpti","leduc<-filterRow(leduc)",1.90700000000004,158.7,297.2,1,4000
"4000.2...65","allOpti","leduc<-filterCol(leduc)",3.88599999999997,-10.2,112.9,1,4000
"4000.3...66","allOpti","aggregatePSM(leduc)",53.192,257.7,368.9,1,4000
"4000.4...67","allOpti","leduc<-filterRow(leduc)",1.904,158.7,297.2,2,4000
"4000.5...68","allOpti","leduc<-filterCol(leduc)",3.88400000000001,-10.2,112.9,2,4000
"4000.6...69","allOpti","aggregatePSM(leduc)",54.241,257.7,366.9,2,4000
"4000.7...70","allOpti","leduc<-filterRow(leduc)",1.91399999999999,158.7,297.2,3,4000
"4000.8...71","allOpti","leduc<-filterCol(leduc)",3.89699999999993,-10.2,112.9,3,4000
"4000.9...72","allOpti","aggregatePSM(leduc)",53.2809999999999,257.7,372.6,3,4000
"500.1...73","base","leduc<-filterRow(leduc)",0.251000000000005,19,37.8,1,500
"500.2...74","base","leduc<-filterCol(leduc)",6.149,-1.09999999999999,42.3,1,500
"500.3...75","base","aggregatePSM(leduc)",10.73,31.3,92.2,1,500
"500.4...76","base","leduc<-filterRow(leduc)",0.244,19,36.6,2,500
"500.5...77","base","leduc<-filterCol(leduc)",6.10699999999999,-1.19999999999999,37.8,2,500
"500.6...78","base","aggregatePSM(leduc)",10.558,31.2,86.8,2,500
"500.7...79","base","leduc<-filterRow(leduc)",0.244,19,36.6,3,500
"500.8...80","base","leduc<-filterCol(leduc)",6.10199999999998,-1.19999999999999,37.8,3,500
"500.9...81","base","aggregatePSM(leduc)",11.671,31.2,84.7,3,500
"1000.1...82","base","leduc<-filterRow(leduc)",0.48599999999999,39.4,75.2,1,1000
"1000.2...83","base","leduc<-filterCol(leduc)",25.207,-2.5,43.1,1,1000
"1000.3...84","base","aggregatePSM(leduc)",24.813,64.7,130.3,1,1000
"1000.4...85","base","leduc<-filterRow(leduc)",0.483000000000004,39.4,75.2,2,1000
"1000.5...86","base","leduc<-filterCol(leduc)",25.232,-2.5,43.2,2,1000
"1000.6...87","base","aggregatePSM(leduc)",25.988,64.7,134.7,2,1000
"1000.7...88","base","leduc<-filterRow(leduc)",0.488999999999976,39.4,75.2,3,1000
"1000.8...89","base","leduc<-filterCol(leduc)",25.221,-2.5,43.2,3,1000
"1000.9...90","base","aggregatePSM(leduc)",24.781,64.7,135.6,3,1000
"2000.1...91","base","leduc<-filterRow(leduc)",0.947999999999979,80.4,153,1,2000
"2000.2...92","base","leduc<-filterCol(leduc)",103.606,-5.19999999999999,69.6,1,2000
"2000.3...93","base","aggregatePSM(leduc)",63.321,132.2,218.7,1,2000
"2000.4...94","base","leduc<-filterRow(leduc)",0.945999999999913,80.4,153,2,2000
"2000.5...95","base","leduc<-filterCol(leduc)",103.643,-5.19999999999999,70.3,2,2000
"2000.6...96","base","aggregatePSM(leduc)",62.329,132.2,222.7,2,2000
"2000.7...97","base","leduc<-filterRow(leduc)",0.946000000000026,80.4,153,3,2000
"2000.8...98","base","leduc<-filterCol(leduc)",103.318,-5.19999999999999,70.7,3,2000
"2000.9...99","base","aggregatePSM(leduc)",63.3809999999999,132.2,215.1,3,2000
"4000.1...100","base","leduc<-filterRow(leduc)",1.91700000000014,160.3,299,1,4000
"4000.2...101","base","leduc<-filterCol(leduc)",422.278,-10.4,119.5,1,4000
"4000.3...102","base","aggregatePSM(leduc)",171.886,263.8,361.6,1,4000
"4000.4...103","base","leduc<-filterRow(leduc)",1.92200000000003,160.3,299,2,4000
"4000.5...104","base","leduc<-filterCol(leduc)",424.324,-10.4,119.7,2,4000
"4000.6...105","base","aggregatePSM(leduc)",172.405,263.8,351.1,2,4000
"4000.7...106","base","leduc<-filterRow(leduc)",1.92200000000003,160.3,299,3,4000
"4000.8...107","base","leduc<-filterCol(leduc)",423.326,-10.4,119.5,3,4000
"4000.9...108","base","aggregatePSM(leduc)",172.195,263.8,361.3,3,4000
"500.1...109","subsetByColData","leduc<-filterRow(leduc)",0.253,20.4,39.7,1,500
"500.2...110","subsetByColData","leduc<-filterCol(leduc)",0.497,-1.20000000000002,28.9,1,500
"500.3...111","subsetByColData","aggregatePSM(leduc)",10.907,33.4,89.4,1,500
"500.4...112","subsetByColData","leduc<-filterRow(leduc)",0.245999999999995,20.3,38.5,2,500
"500.5...113","subsetByColData","leduc<-filterCol(leduc)",0.468999999999994,-1.29999999999998,23.2,2,500
