"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",6.14499999999998,713.4,1076.6
"3","leduc<-leducSCR(leduc)",8.4380000000001,93.6999999999998,811.4
"4","leduc<-leducScSums(leduc)",7.60100000000011,-154.6,745.2
"5","leduc<-leducNormToRef(leduc)",38.23,0.299999999999727,105.3
"6","leduc<-leducAggPSM(leduc)",184.842,286.9,393.9
"7","leduc<-leducConsensus(leduc,assaysNames)",5.65499999999975,0,190.3
"8","leduc<-leducMissingData(leduc,assaysNames)",22.9120000000003,0,147.6
"9","leduc<-leducJoin(leduc,assaysNames)",15.4780000000001,335.1,965.7
"10","leduc<-leducFilterCV(leduc,assaysNames)",19.8579999999993,-634.9,199.1
"11","leduc<-leducNormPep(leduc)",2.11199999999917,93.3999999999996,383.1
"12","leduc<-leducFilteringNA(leduc)",5.44700000000012,4.30000000000018,376
"13","leduc<-leducLogTransfo(leduc)",1.02999999999975,31.5999999999999,111.8
"14","leduc<-leducAggPep(leduc)",1.32999999999993,14,181.5
"15","leduc<-leducNormPro(leduc)",2.05699999999979,13.5,94.0999999999999
"16","leduc<-leducImpute(leduc)",8.77199999999993,-496.4,1177.8
"17","leduc<-leducBatch(leduc)",1.6239999999998,6.80000000000018,78.8000000000002
"18","leduc<-leducNormBatch(leduc)",2.11599999999999,13.4000000000001,101.5
"19","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=sizeOutputPath,append=TRUE,col.names=FALSE,row.names=FALSE)",0.206000000000131,0,259.6
