"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",1.57799999999997,-1172,302.6
"3","leduc<-leducSCR(leduc)",2.08400000000006,25.8,211.9
"4","leduc<-leducScSums(leduc)",1.82000000000016,-39,206
"5","leduc<-leducNormToRef(leduc)",3.42899999999986,0.0999999999999091,40.5
"6","leduc<-leducAggPSM(leduc)",45.5360000000001,74.5,161
"7","leduc<-leducConsensus(leduc,assaysNames)",1.90800000000013,0,61.5
"8","leduc<-leducMissingData(leduc,assaysNames)",5.44000000000005,0,57.1000000000001
"9","leduc<-leducJoin(leduc,assaysNames)",3.09099999999989,51.7,278
"10","leduc<-leducFilterCV(leduc,assaysNames)",2.34999999999991,-166.6,174.6
"11","leduc<-leducNormPep(leduc)",0.618999999999915,11.3999999999999,109.3
"12","leduc<-leducFilteringNA(leduc)",1.26599999999985,5.20000000000005,71
"13","leduc<-leducLogTransfo(leduc)",0.283999999999878,4.90000000000009,43.9000000000001
"14","leduc<-leducAggPep(leduc)",0.560999999999922,2.70000000000005,64.3
"15","leduc<-leducNormPro(leduc)",0.620000000000118,2.29999999999995,58.8999999999999
"16","leduc<-leducImpute(leduc)",1.27599999999984,-92.2,263.9
"17","leduc<-leducBatch(leduc)",0.537000000000035,1.20000000000005,48
"18","leduc<-leducNormBatch(leduc)",0.655999999999949,2.29999999999995,59.5
"19","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=sizeOutputPath,append=TRUE,col.names=FALSE,row.names=FALSE)",0.0619999999998981,0,71.7
