"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",27.645,2724,3218.8
"3","leduc<-leducSCR(leduc)",40.5799999999999,356.5,3125.2
"4","leduc<-leducScSums(leduc)",34.7340000000002,-615.200000000001,2827.1
"5","leduc<-leducNormToRef(leduc)",560.905,1.30000000000018,326.5
"6","leduc<-leducAggPSM(leduc)",798.941,1132.8,1235
"7","leduc<-leducConsensus(leduc,assaysNames)",21.2579999999998,0,535.3
"8","leduc<-leducMissingData(leduc,assaysNames)",114.928,0,538.5
"9","leduc<-leducJoin(leduc,assaysNames)",75.683,1424.4,3099.1
"10","leduc<-leducFilterCV(leduc,assaysNames)",250.691,-2491.2,204.800000000001
"11","leduc<-leducNormPep(leduc)",8.62800000000016,396.400000000001,1481.7
"12","leduc<-leducFilteringNA(leduc)",20.8430000000003,-6.30000000000018,1256.1
"13","leduc<-leducLogTransfo(leduc)",4.02800000000025,121.9,269.099999999999
"14","leduc<-leducAggPep(leduc)",4.53999999999996,53,585.5
"15","leduc<-leducNormPro(leduc)",8.23299999999972,52.5,258.6
"16","leduc<-leducImpute(leduc)",76.4679999999998,-2070.6,6208.2
"17","leduc<-leducBatch(leduc)",7.06500000000005,26.3000000000002,219.3
"18","leduc<-leducNormBatch(leduc)",8.30299999999988,52.5,284.1
"19","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=sizeOutputPath,append=TRUE,col.names=FALSE,row.names=FALSE)",0.744999999999891,0,997.1
