"","thr","method","basemethod","meas","fullmethod","splitval","NBR","TP","FP","TN","FN","TOT_CALLED","DIFF","NONDIFF","TPR","FDR","satis","method.satis"
"33",0.011,"scp","scp","__padj","scp_overall","overall",764,733,31,6934,14,7712,747,6965,0.981258366800535,0.0405759162303665,"no","scp_overallno"
"34",0.012,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",812,730,82,6739,7,7558,747,6965,0.977242302543507,0.100985221674877,"no","msqrob2_overallno"
"35",0.012,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",733,723,10,6811,14,7558,747,6965,0.967871485943775,0.0136425648021828,"no","pseudobulk_overallno"
"36",0.012,"scp","scp","__padj","scp_overall","overall",769,733,36,6929,14,7712,747,6965,0.981258366800535,0.046814044213264,"no","scp_overallno"
"37",0.013,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",816,730,86,6735,7,7558,747,6965,0.977242302543507,0.105392156862745,"no","msqrob2_overallno"
"38",0.013,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",734,724,10,6811,13,7558,747,6965,0.969210174029451,0.0136239782016349,"no","pseudobulk_overallno"
"39",0.013,"scp","scp","__padj","scp_overall","overall",771,733,38,6927,14,7712,747,6965,0.981258366800535,0.0492866407263294,"no","scp_overallno"
"40",0.014,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",818,730,88,6733,7,7558,747,6965,0.977242302543507,0.107579462102689,"no","msqrob2_overallno"
"41",0.014,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",736,724,12,6809,13,7558,747,6965,0.969210174029451,0.016304347826087,"no","pseudobulk_overallno"
"42",0.014,"scp","scp","__padj","scp_overall","overall",773,733,40,6925,14,7712,747,6965,0.981258366800535,0.0517464424320828,"no","scp_overallno"
"43",0.015,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",822,730,92,6729,7,7558,747,6965,0.977242302543507,0.111922141119221,"no","msqrob2_overallno"
"44",0.015,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",738,724,14,6807,13,7558,747,6965,0.969210174029451,0.018970189701897,"no","pseudobulk_overallno"
"45",0.015,"scp","scp","__padj","scp_overall","overall",777,733,44,6921,14,7712,747,6965,0.981258366800535,0.0566280566280566,"no","scp_overallno"
"46",0.016,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",825,730,95,6726,7,7558,747,6965,0.977242302543507,0.115151515151515,"no","msqrob2_overallno"
"47",0.016,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",740,724,16,6805,13,7558,747,6965,0.969210174029451,0.0216216216216216,"no","pseudobulk_overallno"
"48",0.016,"scp","scp","__padj","scp_overall","overall",778,733,45,6920,14,7712,747,6965,0.981258366800535,0.057840616966581,"no","scp_overallno"
"49",0.017,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",827,730,97,6724,7,7558,747,6965,0.977242302543507,0.117291414752116,"no","msqrob2_overallno"
"50",0.017,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",742,724,18,6803,13,7558,747,6965,0.969210174029451,0.0242587601078167,"no","pseudobulk_overallno"
"51",0.017,"scp","scp","__padj","scp_overall","overall",783,734,49,6916,13,7712,747,6965,0.982597054886212,0.0625798212005109,"no","scp_overallno"
"52",0.018,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",828,730,98,6723,7,7558,747,6965,0.977242302543507,0.118357487922705,"no","msqrob2_overallno"
"53",0.018,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",743,724,19,6802,13,7558,747,6965,0.969210174029451,0.0255720053835801,"no","pseudobulk_overallno"
"54",0.018,"scp","scp","__padj","scp_overall","overall",784,734,50,6915,13,7712,747,6965,0.982597054886212,0.0637755102040816,"no","scp_overallno"
"55",0.019,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",830,730,100,6721,7,7558,747,6965,0.977242302543507,0.120481927710843,"no","msqrob2_overallno"
"56",0.019,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",743,724,19,6802,13,7558,747,6965,0.969210174029451,0.0255720053835801,"no","pseudobulk_overallno"
"57",0.019,"scp","scp","__padj","scp_overall","overall",784,734,50,6915,13,7712,747,6965,0.982597054886212,0.0637755102040816,"no","scp_overallno"
"58",0.02,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",835,730,105,6716,7,7558,747,6965,0.977242302543507,0.125748502994012,"no","msqrob2_overallno"
"59",0.02,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",743,724,19,6802,13,7558,747,6965,0.969210174029451,0.0255720053835801,"no","pseudobulk_overallno"
"60",0.02,"scp","scp","__padj","scp_overall","overall",785,734,51,6914,13,7712,747,6965,0.982597054886212,0.064968152866242,"no","scp_overallno"
"61",0.021,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",837,730,107,6714,7,7558,747,6965,0.977242302543507,0.127837514934289,"no","msqrob2_overallno"
"62",0.021,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",744,724,20,6801,13,7558,747,6965,0.969210174029451,0.0268817204301075,"no","pseudobulk_overallno"
"63",0.021,"scp","scp","__padj","scp_overall","overall",786,734,52,6913,13,7712,747,6965,0.982597054886212,0.0661577608142494,"no","scp_overallno"
"64",0.022,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",842,730,112,6709,7,7558,747,6965,0.977242302543507,0.133016627078385,"no","msqrob2_overallno"
"65",0.022,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",744,724,20,6801,13,7558,747,6965,0.969210174029451,0.0268817204301075,"no","pseudobulk_overallno"
"66",0.022,"scp","scp","__padj","scp_overall","overall",786,734,52,6913,13,7712,747,6965,0.982597054886212,0.0661577608142494,"no","scp_overallno"
"67",0.023,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",846,730,116,6705,7,7558,747,6965,0.977242302543507,0.137115839243499,"no","msqrob2_overallno"
"68",0.023,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",745,724,21,6800,13,7558,747,6965,0.969210174029451,0.0281879194630872,"no","pseudobulk_overallno"
"69",0.023,"scp","scp","__padj","scp_overall","overall",788,734,54,6911,13,7712,747,6965,0.982597054886212,0.0685279187817259,"no","scp_overallno"
"70",0.024,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",847,730,117,6704,7,7558,747,6965,0.977242302543507,0.138134592680047,"no","msqrob2_overallno"
"71",0.024,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",746,724,22,6799,13,7558,747,6965,0.969210174029451,0.0294906166219839,"no","pseudobulk_overallno"
"72",0.024,"scp","scp","__padj","scp_overall","overall",794,734,60,6905,13,7712,747,6965,0.982597054886212,0.0755667506297229,"no","scp_overallno"
"73",0.025,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",855,730,125,6696,7,7558,747,6965,0.977242302543507,0.146198830409357,"no","msqrob2_overallno"
"74",0.025,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",747,724,23,6798,13,7558,747,6965,0.969210174029451,0.0307898259705489,"no","pseudobulk_overallno"
"75",0.025,"scp","scp","__padj","scp_overall","overall",795,734,61,6904,13,7712,747,6965,0.982597054886212,0.0767295597484277,"no","scp_overallno"
"76",0.026,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",856,730,126,6695,7,7558,747,6965,0.977242302543507,0.147196261682243,"no","msqrob2_overallno"
"77",0.026,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",748,724,24,6797,13,7558,747,6965,0.969210174029451,0.0320855614973262,"no","pseudobulk_overallno"
"78",0.026,"scp","scp","__padj","scp_overall","overall",799,734,65,6900,13,7712,747,6965,0.982597054886212,0.081351689612015,"no","scp_overallno"
"79",0.027,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",857,730,127,6694,7,7558,747,6965,0.977242302543507,0.148191365227538,"no","msqrob2_overallno"
"80",0.027,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",750,724,26,6795,13,7558,747,6965,0.969210174029451,0.0346666666666667,"no","pseudobulk_overallno"
"81",0.027,"scp","scp","__padj","scp_overall","overall",801,734,67,6898,13,7712,747,6965,0.982597054886212,0.083645443196005,"no","scp_overallno"
"82",0.028,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",859,730,129,6692,7,7558,747,6965,0.977242302543507,0.150174621653085,"no","msqrob2_overallno"
"83",0.028,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",750,724,26,6795,13,7558,747,6965,0.969210174029451,0.0346666666666667,"no","pseudobulk_overallno"
"84",0.028,"scp","scp","__padj","scp_overall","overall",801,734,67,6898,13,7712,747,6965,0.982597054886212,0.083645443196005,"no","scp_overallno"
"85",0.029,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",869,730,139,6682,7,7558,747,6965,0.977242302543507,0.159953970080552,"no","msqrob2_overallno"
"86",0.029,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",751,724,27,6794,13,7558,747,6965,0.969210174029451,0.0359520639147803,"no","pseudobulk_overallno"
"87",0.029,"scp","scp","__padj","scp_overall","overall",802,734,68,6897,13,7712,747,6965,0.982597054886212,0.084788029925187,"no","scp_overallno"
"88",0.03,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",870,730,140,6681,7,7558,747,6965,0.977242302543507,0.160919540229885,"no","msqrob2_overallno"
"89",0.03,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",751,724,27,6794,13,7558,747,6965,0.969210174029451,0.0359520639147803,"no","pseudobulk_overallno"
"90",0.03,"scp","scp","__padj","scp_overall","overall",802,734,68,6897,13,7712,747,6965,0.982597054886212,0.084788029925187,"no","scp_overallno"
"91",0.031,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",875,730,145,6676,7,7558,747,6965,0.977242302543507,0.165714285714286,"no","msqrob2_overallno"
"92",0.031,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",751,724,27,6794,13,7558,747,6965,0.969210174029451,0.0359520639147803,"no","pseudobulk_overallno"
"93",0.031,"scp","scp","__padj","scp_overall","overall",802,734,68,6897,13,7712,747,6965,0.982597054886212,0.084788029925187,"no","scp_overallno"
"94",0.032,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",882,730,152,6669,7,7558,747,6965,0.977242302543507,0.172335600907029,"no","msqrob2_overallno"
"95",0.032,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",751,724,27,6794,13,7558,747,6965,0.969210174029451,0.0359520639147803,"no","pseudobulk_overallno"
"96",0.032,"scp","scp","__padj","scp_overall","overall",802,734,68,6897,13,7712,747,6965,0.982597054886212,0.084788029925187,"no","scp_overallno"
"97",0.033,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",885,730,155,6666,7,7558,747,6965,0.977242302543507,0.175141242937853,"no","msqrob2_overallno"
"98",0.033,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",751,724,27,6794,13,7558,747,6965,0.969210174029451,0.0359520639147803,"no","pseudobulk_overallno"
"99",0.033,"scp","scp","__padj","scp_overall","overall",802,734,68,6897,13,7712,747,6965,0.982597054886212,0.084788029925187,"no","scp_overallno"
"100",0.034,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",888,730,158,6663,7,7558,747,6965,0.977242302543507,0.177927927927928,"no","msqrob2_overallno"
"101",0.034,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",751,724,27,6794,13,7558,747,6965,0.969210174029451,0.0359520639147803,"no","pseudobulk_overallno"
"102",0.034,"scp","scp","__padj","scp_overall","overall",804,734,70,6895,13,7712,747,6965,0.982597054886212,0.0870646766169154,"no","scp_overallno"
"103",0.035,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",891,731,160,6661,6,7558,747,6965,0.978580990629183,0.179573512906846,"no","msqrob2_overallno"
"104",0.035,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",751,724,27,6794,13,7558,747,6965,0.969210174029451,0.0359520639147803,"no","pseudobulk_overallno"
"105",0.035,"scp","scp","__padj","scp_overall","overall",804,734,70,6895,13,7712,747,6965,0.982597054886212,0.0870646766169154,"no","scp_overallno"
"106",0.036,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",896,731,165,6656,6,7558,747,6965,0.978580990629183,0.184151785714286,"no","msqrob2_overallno"
"107",0.036,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",751,724,27,6794,13,7558,747,6965,0.969210174029451,0.0359520639147803,"yes","pseudobulk_overallyes"
"108",0.036,"scp","scp","__padj","scp_overall","overall",805,734,71,6894,13,7712,747,6965,0.982597054886212,0.0881987577639751,"no","scp_overallno"
"109",0.037,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",899,731,168,6653,6,7558,747,6965,0.978580990629183,0.186874304783092,"no","msqrob2_overallno"
"110",0.037,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",752,724,28,6793,13,7558,747,6965,0.969210174029451,0.0372340425531915,"no","pseudobulk_overallno"
"111",0.037,"scp","scp","__padj","scp_overall","overall",805,734,71,6894,13,7712,747,6965,0.982597054886212,0.0881987577639751,"no","scp_overallno"
