"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","qfeaturesAfter<-stepsPep[[stepPep]](qfeatures)",6.95100000000002,-353.3,1806.2
"2","write.table(data.frame(nCell=as.integer(size),rep=as.integer(i),step=stepPep,sizeTotalBefore=qfeaturesTotalSizeBefore,sizeTotalAfter=object.size(qfeaturesAfter),sizeAssayBefore=qfeaturesAssaySizeBefore,sizeAssayAfter=getAssaySize(qfeaturesAfter),sizeRowDataBefore=qfeaturesRowDataSizeBefore,sizeRowDataAfter=getRowDataSize(qfeaturesAfter),sizeColDataBefore=qfeaturesColDataSizeBefore,sizeColDataAfter=getColDataSize(qfeaturesAfter),nFeat=qfeaturesNPep),file=file.path(destPath,""qfeatures_size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",2.60599999999977,0,405.1
