"nCell" "rep" "size"
1000 1 1604960280
2000 1 3174798536
4000 1 6318034608
1000 2 1604960280
2000 2 3174798536
4000 2 6318034608
1000 3 1604960280
2000 3 3174798536
4000 3 6318034608
